RIG UN Equity;Transocean Ltd
IRM UN Equity;Iron Mountain Inc
DO UN Equity;Diamond Offshore Drilling Inc
WIN UW Equity;Windstream Holdings Inc
ESV UN Equity;Ensco PLC
NE UN Equity;Noble Corp plc
FTR UW Equity;Frontier Communications Corp
TE UN Equity;TECO Energy Inc
PGR UN Equity;Progressive Corp/The
CTL UN Equity;CenturyLink Inc
T UN Equity;AT&T Inc
BXP UN Equity;Boston Properties Inc
FE UN Equity;FirstEnergy Corp
CME UW Equity;CME Group Inc/IL
HCP UN Equity;HCP Inc
MAT UW Equity;Mattel Inc
FCX UN Equity;Freeport-McMoRan Inc
WYNN UW Equity;Wynn Resorts Ltd
HOT UN Equity;Starwood Hotels & Resorts Worldwide Inc
MWV UN Equity;MeadWestvaco Corp
VZ UN Equity;Verizon Communications Inc
PBCT UW Equity;People's United Financial Inc
PM UN Equity;Philip Morris International Inc
PNW UN Equity;Pinnacle West Capital Corp
SO UN Equity;Southern Co/The
HCN UN Equity;Health Care REIT Inc
PCL UN Equity;Plum Creek Timber Co Inc
PPL UN Equity;PPL Corp
KMI UN Equity;Kinder Morgan Inc/DE
COP UN Equity;ConocoPhillips
VTR UN Equity;Ventas Inc
ETR UN Equity;Entergy Corp
OKE UN Equity;ONEOK Inc
ED UN Equity;Consolidated Edison Inc
RAI UN Equity;Reynolds American Inc
POM UN Equity;Pepco Holdings Inc
COH UN Equity;Coach Inc
CNP UN Equity;CenterPoint Energy Inc
HP UN Equity;Helmerich & Payne Inc
DUK UN Equity;Duke Energy Corp
MO UN Equity;Altria Group Inc
LO UN Equity;Lorillard Inc
DRI UN Equity;Darden Restaurants Inc
CVX UN Equity;Chevron Corp
AEE UN Equity;Ameren Corp
F UN Equity;Ford Motor Co
SCG UN Equity;SCANA Corp
GAS UN Equity;AGL Resources Inc
TEG UN Equity;Integrys Energy Group Inc
SE UN Equity;Spectra Energy Corp
PCG UN Equity;PG&E Corp
PEG UN Equity;Public Service Enterprise Group Inc
KIM UN Equity;Kimco Realty Corp
WMB UN Equity;Williams Cos Inc/The
EXC UN Equity;Exelon Corp
AEP UN Equity;American Electric Power Co Inc
OXY UN Equity;Occidental Petroleum Corp
XEL UN Equity;Xcel Energy Inc
GE UN Equity;General Electric Co
GME UN Equity;GameStop Corp
CINF UW Equity;Cincinnati Financial Corp
MCD UN Equity;McDonald's Corp
MUR UN Equity;Murphy Oil Corp
SPLS UW Equity;Staples Inc
GRMN UW Equity;Garmin Ltd
D UN Equity;Dominion Resources Inc/VA
DTE UN Equity;DTE Energy Co
CA UW Equity;CA Inc
LYB UN Equity;LyondellBasell Industries NV
PFE UN Equity;Pfizer Inc
CMS UN Equity;CMS Energy Corp
RTN UN Equity;Raytheon Co
WEC UN Equity;Wisconsin Energy Corp
MAC UN Equity;Macerich Co/The
MCHP UW Equity;Microchip Technology Inc
EQR UN Equity;Equity Residential
PSA UN Equity;Public Storage
PAYX UW Equity;Paychex Inc
WM UN Equity;Waste Management Inc
NU UN Equity;Northeast Utilities
PLD UN Equity;Prologis Inc
PBI UN Equity;Pitney Bowes Inc
GIS UN Equity;General Mills Inc
HAS UW Equity;Hasbro Inc
KMB UN Equity;Kimberly-Clark Corp
SYY UN Equity;Sysco Corp
CLX UN Equity;Clorox Co/The
LEG UN Equity;Leggett & Platt Inc
MRK UN Equity;Merck & Co Inc
CPB UN Equity;Campbell Soup Co
DOW UN Equity;Dow Chemical Co/The
AVB UN Equity;AvalonBay Communities Inc
SPG UN Equity;Simon Property Group Inc
K UN Equity;Kellogg Co
CVC UN Equity;Cablevision Systems Corp
XOM UN Equity;Exxon Mobil Corp
LMT UN Equity;Lockheed Martin Corp
LB UN Equity;L Brands Inc
AIV UN Equity;Apartment Investment & Management Co
PG UN Equity;Procter & Gamble Co/The
NEE UN Equity;NextEra Energy Inc
KO UN Equity;Coca-Cola Co/The
KSS UN Equity;Kohl's Corp
LLY UN Equity;Eli Lilly & Co
BAX UN Equity;Baxter International Inc
NUE UN Equity;Nucor Corp
CAG UN Equity;ConAgra Foods Inc
WU UN Equity;Western Union Co/The
CSCO UW Equity;Cisco Systems Inc
MMC UN Equity;Marsh & McLennan Cos Inc
RSG UN Equity;Republic Services Inc
WY UN Equity;Weyerhaeuser Co
MRO UN Equity;Marathon Oil Corp
GM UN Equity;General Motors Co
EMR UN Equity;Emerson Electric Co
UNM UN Equity;Unum Group
HST UN Equity;Host Hotels & Resorts Inc
KRFT UW Equity;Kraft Foods Group Inc
KLAC UW Equity;KLA-Tencor Corp
ROK UN Equity;Rockwell Automation Inc
STX UW Equity;Seagate Technology PLC
VNO UN Equity;Vornado Realty Trust
JWN UN Equity;Nordstrom Inc
AVY UN Equity;Avery Dennison Corp
IP UN Equity;International Paper Co
ADI UW Equity;Analog Devices Inc
DNR UN Equity;Denbury Resources Inc
IBM UN Equity;International Business Machines Corp
JNJ UN Equity;Johnson & Johnson
PEP UN Equity;PepsiCo Inc
DD UN Equity;EI du Pont de Nemours & Co
JPM UN Equity;JPMorgan Chase & Co
AFL UN Equity;Aflac Inc
ESS UN Equity;Essex Property Trust Inc
SWY UN Equity;Safeway Inc
PCAR UW Equity;PACCAR Inc
AVP UN Equity;Avon Products Inc
TGT UN Equity;Target Corp
GCI UN Equity;Gannett Co Inc
NI UN Equity;NiSource Inc
PSX UN Equity;Phillips 66
HRS UN Equity;Harris Corp
BBT UN Equity;BB&T Corp
FITB UW Equity;Fifth Third Bancorp
YUM UN Equity;Yum! Brands Inc
PRU UN Equity;Prudential Financial Inc
SJM UN Equity;JM Smucker Co/The
INTC UW Equity;Intel Corp
MSFT UW Equity;Microsoft Corp
BMY UN Equity;Bristol-Myers Squibb Co
DE UN Equity;Deere & Co
UPS UN Equity;United Parcel Service Inc
SRE UN Equity;Sempra Energy
WFC UN Equity;Wells Fargo & Co
ABBV UN Equity;AbbVie Inc
HRB UN Equity;H&R Block Inc
IVZ UN Equity;Invesco Ltd
OMC UN Equity;Omnicom Group Inc
XLNX UW Equity;Xilinx Inc
LLTC UW Equity;Linear Technology Corp
WMT UN Equity;Wal-Mart Stores Inc
SYMC UW Equity;Symantec Corp
PFG UN Equity;Principal Financial Group Inc
CCL UN Equity;Carnival Corp
DPS UN Equity;Dr Pepper Snapple Group Inc
ADP UW Equity;Automatic Data Processing Inc
MET UN Equity;MetLife Inc
BA UN Equity;Boeing Co/The
EIX UN Equity;Edison International
GGP UN Equity;General Growth Properties Inc
SLB UN Equity;Schlumberger Ltd
GPC UN Equity;Genuine Parts Co
MTB UN Equity;M&T Bank Corp
MOS UN Equity;Mosaic Co/The
TXN UW Equity;Texas Instruments Inc
ACN UN Equity;Accenture PLC
NOV UN Equity;National Oilwell Varco Inc
CCE UN Equity;Coca-Cola Enterprises Inc
UTX UN Equity;United Technologies Corp
ETN UN Equity;Eaton Corp PLC
FAST UW Equity;Fastenal Co
SWK UN Equity;Stanley Black & Decker Inc
GPS UN Equity;Gap Inc/The
ATI UN Equity;Allegheny Technologies Inc
USB UN Equity;US Bancorp/MN
ACE UN Equity;ACE Ltd
NEM UN Equity;Newmont Mining Corp
QCOM UW Equity;QUALCOMM Inc
ADT UN Equity;ADT Corp/The
NLSN UN Equity;Nielsen NV
EXPD UW Equity;Expeditors International of Washington I
APD UN Equity;Air Products & Chemicals Inc
BLK UN Equity;BlackRock Inc
PNC UN Equity;PNC Financial Services Group Inc/The
NSC UN Equity;Norfolk Southern Corp
CL UN Equity;Colgate-Palmolive Co
DOV UN Equity;Dover Corp
TROW UW Equity;T Rowe Price Group Inc
VLO UN Equity;Valero Energy Corp
TRV UN Equity;Travelers Cos Inc/The
HSY UN Equity;Hershey Co/The
DGX UN Equity;Quest Diagnostics Inc
MKC UN Equity;McCormick & Co Inc/MD
MMM UN Equity;3M Co
PX UN Equity;Praxair Inc
TWC UN Equity;Time Warner Cable Inc
BBY UN Equity;Best Buy Co Inc
MSI UN Equity;Motorola Solutions Inc
CAT UN Equity;Caterpillar Inc
HBAN UW Equity;Huntington Bancshares Inc/OH
MPC UN Equity;Marathon Petroleum Corp
HPQ UN Equity;Hewlett-Packard Co
TAP UN Equity;Molson Coors Brewing Co
M UN Equity;Macy's Inc
LLL UN Equity;L-3 Communications Holdings Inc
CHRW UW Equity;CH Robinson Worldwide Inc
GLW UN Equity;Corning Inc
NTRS UW Equity;Northern Trust Corp
CB UN Equity;Chubb Corp/The
WAG UN Equity;Walgreen Co
NRG UN Equity;NRG Energy Inc
MON UN Equity;Monsanto Co
CHK UN Equity;Chesapeake Energy Corp
ITW UN Equity;Illinois Tool Works Inc
HON UN Equity;Honeywell International Inc
HD UN Equity;Home Depot Inc/The
JCI UN Equity;Johnson Controls Inc
NOC UN Equity;Northrop Grumman Corp
ARG UN Equity;Airgas Inc
ABT UN Equity;Abbott Laboratories
CMI UN Equity;Cummins Inc
IPG UN Equity;Interpublic Group of Cos Inc/The
NWL UN Equity;Newell Rubbermaid Inc
KEY UN Equity;KeyCorp
EMN UN Equity;Eastman Chemical Co
XL UN Equity;XL Group PLC
WDC UW Equity;Western Digital Corp
XRX UN Equity;Xerox Corp
ADM UN Equity;Archer-Daniels-Midland Co
CSX UN Equity;CSX Corp
CF UN Equity;CF Industries Holdings Inc
TEL UN Equity;TE Connectivity Ltd
PNR UN Equity;Pentair PLC
ALTR UW Equity;Altera Corp
VIAB UW Equity;Viacom Inc
AMP UN Equity;Ameriprise Financial Inc
GD UN Equity;General Dynamics Corp
LUK UN Equity;Leucadia National Corp
TYC UN Equity;Tyco International Plc
NVDA UW Equity;NVIDIA Corp
HCBK UW Equity;Hudson City Bancorp Inc
AMAT UW Equity;Applied Materials Inc
GWW UN Equity;WW Grainger Inc
ALL UN Equity;Allstate Corp/The
IFF UN Equity;International Flavors & Fragrances Inc
CMA UN Equity;Comerica Inc
WYN UN Equity;Wyndham Worldwide Corp
AAPL UW Equity;Apple Inc
CAH UN Equity;Cardinal Health Inc
BDX UN Equity;Becton Dickinson and Co
PDCO UW Equity;Patterson Cos Inc
MDT UN Equity;Medtronic Inc
FIS UN Equity;Fidelity National Information Services I
BK UN Equity;Bank of New York Mellon Corp/The
CMCSA UW Equity;Comcast Corp
RF UN Equity;Regions Financial Corp
APA UN Equity;Apache Corp
DVN UN Equity;Devon Energy Corp
UNP UN Equity;Union Pacific Corp
HRL UN Equity;Hormel Foods Corp
STJ UN Equity;St Jude Medical Inc
HIG UN Equity;Hartford Financial Services Group Inc/Th
AIZ UN Equity;Assurant Inc
IR UN Equity;Ingersoll-Rand PLC
HAL UN Equity;Halliburton Co
R UN Equity;Ryder System Inc
MDLZ UW Equity;Mondelez International Inc
HOG UN Equity;Harley-Davidson Inc
NBR UN Equity;Nabors Industries Ltd
TWX UN Equity;Time Warner Inc
WHR UN Equity;Whirlpool Corp
PH UN Equity;Parker-Hannifin Corp
STI UN Equity;SunTrust Banks Inc
NTAP UW Equity;NetApp Inc
EMC UN Equity;EMC Corp/MA
COF UN Equity;Capital One Financial Corp
FDO UN Equity;Family Dollar Stores Inc
VFC UN Equity;VF Corp
MJN UN Equity;Mead Johnson Nutrition Co
STT UN Equity;State Street Corp
JOY UN Equity;Joy Global Inc
COL UN Equity;Rockwell Collins Inc
AES UN Equity;AES Corp/VA
DNB UN Equity;Dun & Bradstreet Corp/The
TSO UN Equity;Tesoro Corp
AMGN UW Equity;Amgen Inc
DFS UN Equity;Discover Financial Services
MLM UN Equity;Martin Marietta Materials Inc
TIF UN Equity;Tiffany & Co
RCL UN Equity;Royal Caribbean Cruises Ltd
MAS UN Equity;Masco Corp
FOXA UW Equity;Twenty-First Century Fox Inc
HES UN Equity;Hess Corp
ANTM UN Equity;Anthem Inc
SBUX UW Equity;Starbucks Corp
CSC UN Equity;Computer Sciences Corp
UNH UN Equity;UnitedHealth Group Inc
AMT UN Equity;American Tower Corp
XYL UN Equity;Xylem Inc/NY
SEE UN Equity;Sealed Air Corp
SYK UN Equity;Stryker Corp
SNA UN Equity;Snap-on Inc
COV UN Equity;Covidien PLC
BF/B UN Equity;Brown-Forman Corp
FLR UN Equity;Fluor Corp
NBL UN Equity;Noble Energy Inc
LOW UN Equity;Lowe's Cos Inc
MHFI UN Equity;McGraw Hill Financial Inc
DLPH UN Equity;Delphi Automotive PLC
RHI UN Equity;Robert Half International Inc
A UN Equity;Agilent Technologies Inc
NDAQ UW Equity;NASDAQ OMX Group Inc/The
FLIR UW Equity;FLIR Systems Inc
EFX UN Equity;Equifax Inc
TSS UN Equity;Total System Services Inc
HAR UN Equity;Harman International Industries Inc
CVS UN Equity;CVS Health Corp
ICE UN Equity;Intercontinental Exchange Inc
PPG UN Equity;PPG Industries Inc
PLL UN Equity;Pall Corp
ORCL UN Equity;Oracle Corp
APC UN Equity;Anadarko Petroleum Corp
GS UN Equity;Goldman Sachs Group Inc/The
KR UN Equity;Kroger Co/The
LNC UN Equity;Lincoln National Corp
MCO UN Equity;Moody's Corp
BHI UN Equity;Baker Hughes Inc
AVGO UW Equity;Avago Technologies Ltd
EL UN Equity;Estee Lauder Cos Inc/The
BRCM UW Equity;Broadcom Corp
LM UN Equity;Legg Mason Inc
AXP UN Equity;American Express Co
CTAS UW Equity;Cintas Corp
FMC UN Equity;FMC Corp
TJX UN Equity;TJX Cos Inc/The
ABC UN Equity;AmerisourceBergen Corp
ECL UN Equity;Ecolab Inc
FLS UN Equity;Flowserve Corp
PETM UW Equity;PetSmart Inc
WFM UW Equity;Whole Foods Market Inc
AET UN Equity;Aetna Inc
RL UN Equity;Ralph Lauren Corp
NKE UN Equity;NIKE Inc
MAR UW Equity;Marriott International Inc/DE
BLL UN Equity;Ball Corp
SNI UN Equity;Scripps Networks Interactive Inc
SNDK UW Equity;SanDisk Corp
PHM UN Equity;PulteGroup Inc
COST UW Equity;Costco Wholesale Corp
CBS UN Equity;CBS Corp
DIS UN Equity;Walt Disney Co/The
KSU UN Equity;Kansas City Southern
AON UN Equity;Aon PLC
INTU UW Equity;Intuit Inc
SHW UN Equity;Sherwin-Williams Co/The
AIG UN Equity;American International Group Inc
CNX UN Equity;CONSOL Energy Inc
ROST UW Equity;Ross Stores Inc
TMK UN Equity;Torchmark Corp
BEN UN Equity;Franklin Resources Inc
MS UN Equity;Morgan Stanley
SCHW UN Equity;Charles Schwab Corp/The
APH UN Equity;Amphenol Corp
TSN UN Equity;Tyson Foods Inc
HUM UN Equity;Humana Inc
GT UW Equity;Goodyear Tire & Rubber Co/The
ZMH UN Equity;Zimmer Holdings Inc
TSCO UW Equity;Tractor Supply Co
AA UN Equity;Alcoa Inc
XRAY UW Equity;DENTSPLY International Inc
EXPE UW Equity;Expedia Inc
BWA UN Equity;BorgWarner Inc
SIAL UW Equity;Sigma-Aldrich Corp
ZTS UN Equity;Zoetis Inc
PKI UN Equity;PerkinElmer Inc
L UN Equity;Loews Corp
V UN Equity;Visa Inc
XEC UN Equity;Cimarex Energy Co
AME UN Equity;AMETEK Inc
DAL UN Equity;Delta Air Lines Inc
EOG UN Equity;EOG Resources Inc
ZION UW Equity;Zions Bancorporation
GMCR UW Equity;Keurig Green Mountain Inc
DHI UN Equity;DR Horton Inc
ROP UN Equity;Roper Industries Inc
BCR UN Equity;CR Bard Inc
LUV UN Equity;Southwest Airlines Co
TMO UN Equity;Thermo Fisher Scientific Inc
BAC UN Equity;Bank of America Corp
MCK UN Equity;McKesson Corp
MA UN Equity;MasterCard Inc
ALLE UN Equity;Allegion PLC
LRCX UW Equity;Lam Research Corp
DHR UN Equity;Danaher Corp
QEP UN Equity;QEP Resources Inc
FDX UN Equity;FedEx Corp
LEN UN Equity;Lennar Corp
RRC UN Equity;Range Resources Corp
COG UN Equity;Cabot Oil & Gas Corp
PRGO UN Equity;Perrigo Co PLC
VMC UN Equity;Vulcan Materials Co
UHS UN Equity;Universal Health Services Inc
TXT UN Equity;Textron Inc
PVH UN Equity;PVH Corp
EQT UN Equity;EQT Corp
AGN UN Equity;Allergan Inc/United States
C UN Equity;Citigroup Inc
PXD UN Equity;Pioneer Natural Resources Co
PCP UN Equity;Precision Castparts Corp
CI UN Equity;Cigna Corp
DG UN Equity;Dollar General Corp
UA UN Equity;Under Armour Inc
AZO UN Equity;AutoZone Inc
BRK/B UN Equity;Berkshire Hathaway Inc
BSX UN Equity;Boston Scientific Corp
JEC UN Equity;Jacobs Engineering Group Inc
MU UW Equity;Micron Technology Inc
MYL UW Equity;Mylan Inc/PA
LH UN Equity;Laboratory Corp of America Holdings
THC UN Equity;Tenet Healthcare Corp
OI UN Equity;Owens-Illinois Inc
SWN UN Equity;Southwestern Energy Co
VAR UN Equity;Varian Medical Systems Inc
ADBE UW Equity;Adobe Systems Inc
ADSK UW Equity;Autodesk Inc
BBBY UW Equity;Bed Bath & Beyond Inc
CELG UW Equity;Celgene Corp
CERN UW Equity;Cerner Corp
EA UW Equity;Electronic Arts Inc
ESRX UW Equity;Express Scripts Holding Co
FISV UW Equity;Fiserv Inc
GILD UW Equity;Gilead Sciences Inc
BIIB UW Equity;Biogen Idec Inc
AN UN Equity;AutoNation Inc
ACT UN Equity;Actavis plc
STZ UN Equity;Constellation Brands Inc
ORLY UW Equity;O'Reilly Automotive Inc
NFX UN Equity;Newfield Exploration Co
URBN UW Equity;Urban Outfitters Inc
CAM UN Equity;Cameron International Corp
WAT UN Equity;Waters Corp
DLTR UW Equity;Dollar Tree Inc
CTXS UW Equity;Citrix Systems Inc
DVA UN Equity;DaVita HealthCare Partners Inc
YHOO UW Equity;Yahoo! Inc
SRCL UW Equity;Stericycle Inc
ETFC UW Equity;E*TRADE Financial Corp
REGN UW Equity;Regeneron Pharmaceuticals Inc
AMZN UW Equity;Amazon.com Inc
VRSN UW Equity;VeriSign Inc
PWR UN Equity;Quanta Services Inc
CTSH UW Equity;Cognizant Technology Solutions Corp
ISRG UW Equity;Intuitive Surgical Inc
AMG UN Equity;Affiliated Managers Group Inc
EBAY UW Equity;eBay Inc
PCLN UW Equity;Priceline Group Inc/The
FFIV UW Equity;F5 Networks Inc
AKAM UW Equity;Akamai Technologies Inc
GOOGL UW Equity;Google Inc
RHT UN Equity;Red Hat Inc
NFLX UW Equity;Netflix Inc
JNPR UN Equity;Juniper Networks Inc
CRM UN Equity;salesforce.com inc
EW UN Equity;Edwards Lifesciences Corp
FTI UN Equity;FMC Technologies Inc
CBG UN Equity;CBRE Group Inc
KMX UN Equity;CarMax Inc
CMG UN Equity;Chipotle Mexican Grill Inc
DTV UW Equity;DIRECTV
HSP UN Equity;Hospira Inc
GNW UN Equity;Genworth Financial Inc
TDC UN Equity;Teradata Corp
DISCA UW Equity;Discovery Communications Inc
GOOG UW Equity;Google Inc
FSLR UW Equity;First Solar Inc
TRIP UW Equity;TripAdvisor Inc
CFN UN Equity;CareFusion Corp
LVLT UN Equity;Level 3 Communications Inc
FOSL UW Equity;Fossil Group Inc
MHK UN Equity;Mohawk Industries Inc
MNST UW Equity;Monster Beverage Corp
VRTX UW Equity;Vertex Pharmaceuticals Inc
FB UW Equity;Facebook Inc
URI UN Equity;United Rentals Inc
MNK UN Equity;Mallinckrodt PLC
ALXN UW Equity;Alexion Pharmaceuticals Inc
NWSA UW Equity;News Corp
KORS UN Equity;Michael Kors Holdings Ltd
ADS UN Equity;Alliance Data Systems Corp
DISCK UW Equity;Discovery Communications Inc
NAVI UW Equity;Navient Corp
CCI UN Equity;Crown Castle International Corp
